age,gender,education_level,job_title,years_of_experience,salary,job_title_norm
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,sales manager
27.0,Female,Master's,UX Researcher,2.0,65000.0,ux researcher
43.0,Male,PhD,Senior Engineer,17.0,140000.0,senior engineer
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,social media manager
35.0,Male,Master's,Product Manager,7.0,105000.0,product manager
51.0,Female,Master's,Director of Operations,23.0,170000.0,director of operations
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,marketing analyst
40.0,Female,Bachelor's,HR Manager,12.0,80000.0,hr manager
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,senior data scientist
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,junior accountant
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,digital marketing manager
46.0,Male,Bachelor's,IT Manager,19.0,120000.0,it manager
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,customer service representative
34.0,Male,Master's,Business Development Manager,8.0,90000.0,business development manager
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,senior financial analyst
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,web developer
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,recruiter
45.0,Male,PhD,Research Director,16.0,190000.0,research director
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,technical support specialist
42.0,Female,Master's,Creative Director,14.0,120000.0,creative director
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,project manager
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,operations manager
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,senior software engineer
48.0,Female,Master's,Human Resources Director,20.0,180000.0,human resources director
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,content marketing manager
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,technical recruiter
41.0,Female,Master's,Data Analyst,13.0,80000.0,data analyst
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,sales representative
52.0,Male,PhD,Chief Technology Officer,24.0,210000.0,chief technology officer
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,junior designer
34.0,Female,Master's,Financial Advisor,10.0,95000.0,financial advisor
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,junior account manager
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,hr generalist
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,senior project manager
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,marketing coordinator
36.0,Male,PhD,Principal Scientist,11.0,120000.0,principal scientist
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,sales associate
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,supply chain manager
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,senior marketing manager
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,business analyst
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,training specialist
47.0,Male,PhD,Research Scientist,22.0,160000.0,research scientist
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,junior software developer
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,public relations manager
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,operations analyst
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,event coordinator
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,product marketing manager
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,senior hr manager
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,junior web developer
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,senior project coordinator
44.0,Male,PhD,Chief Data Officer,16.0,210000.0,chief data officer
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,digital content producer
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,it support specialist
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,senior marketing analyst
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,customer success manager
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,senior graphic designer
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,software project manager
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,supply chain analyst
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,senior business analyst
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,junior marketing analyst
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,senior financial analyst
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,office manager
48.0,Male,PhD,Principal Engineer,20.0,170000.0,principal engineer
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,junior hr generalist
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,senior product manager
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,sales manager
53.0,Male,Master's,Director of Marketing,25.0,180000.0,director of marketing
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,junior operations analyst
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,customer service manager
44.0,Female,PhD,Senior Scientist,16.0,140000.0,senior scientist
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,junior accountant
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,senior hr generalist
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,sales operations manager
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,marketing coordinator
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,senior software developer
50.0,Female,Master's,Director of Operations,21.0,160000.0,director of operations
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,junior web designer
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,senior training specialist
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,senior research scientist
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,junior sales representative
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,administrative assistant
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,senior project manager
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,junior marketing manager
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,junior data analyst
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,senior product marketing manager
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,junior business analyst
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,senior marketing manager
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,junior software developer
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,senior sales manager
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,junior marketing specialist
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,senior business analyst
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,senior data scientist
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,junior project manager
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,senior accountant
45.0,Male,Master's,Director of Sales,19.0,175000.0,director of sales
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,junior recruiter
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,senior business development manager
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,senior product designer
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,junior customer support specialist
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,senior marketing analyst
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,senior it support specialist
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,junior financial analyst
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,senior operations manager
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,director of human resources
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,junior software engineer
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,senior sales representative
48.0,Male,Master's,Director of Product Management,21.0,175000.0,director of product management
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,junior copywriter
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,senior marketing coordinator
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,senior human resources manager
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,junior business development associate
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,senior account manager
46.0,Male,PhD,Senior Researcher,18.0,150000.0,senior researcher
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,junior hr coordinator
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,senior software engineer
50.0,Female,Master's,Director of Finance,20.0,180000.0,director of finance
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,junior marketing coordinator
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,senior project manager
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,junior data scientist
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,senior operations analyst
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,senior marketing manager
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,junior accountant
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,senior human resources coordinator
46.0,Male,Master's,Director of Operations,20.0,170000.0,director of operations
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,junior sales representative
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,senior business analyst
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,senior ux designer
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,junior product manager
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,senior marketing specialist
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,senior it project manager
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,senior financial analyst
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,senior quality assurance analyst
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,director of sales and marketing
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,junior operations analyst
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,senior account executive
47.0,Male,Master's,Director of Business Development,19.0,170000.0,director of business development
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,junior social media manager
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,senior product manager
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,senior human resources specialist
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,junior business analyst
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,senior marketing coordinator
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,senior data analyst
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,junior account manager
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,senior software developer
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,director of human capital
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,junior advertising coordinator
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,senior sales manager
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,junior ux designer
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,senior accountant
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,senior marketing director
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,junior hr generalist
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,senior operations manager
47.0,Male,Master's,Director of Finance,20.0,170000.0,director of finance
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,junior marketing coordinator
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,senior it consultant
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,senior product designer
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,junior business development associate
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,senior marketing analyst
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,senior software engineer
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,senior financial advisor
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,senior project coordinator
50.0,Female,PhD,Director of Operations,22.0,180000.0,director of operations
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,junior business operations analyst
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,senior sales representative
48.0,Male,Master's,Director of Marketing,19.0,170000.0,director of marketing
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,junior social media specialist
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,senior product development manager
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,senior human resources manager
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,junior financial analyst
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,senior marketing manager
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,senior data scientist
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,junior operations manager
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,senior software architect
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,director of human resources
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,junior marketing specialist
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,senior project manager
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,junior research scientist
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,senior operations analyst
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,senior marketing manager
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,junior sales representative
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,senior financial analyst
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,senior software developer
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,junior operations analyst
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,senior marketing specialist
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,senior hr manager
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,junior business analyst
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,senior product manager
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,senior data analyst
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,junior marketing analyst
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,senior operations manager
49.0,Female,Master's,Director of Marketing,21.0,180000.0,director of marketing
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,junior financial analyst
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,senior project coordinator
47.0,Male,Master's,Director of Operations,20.0,170000.0,director of operations
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,junior marketing coordinator
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,senior it consultant
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,senior product designer
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,junior business development associate
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,senior marketing analyst
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,senior software engineer
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,senior financial advisor
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,senior project coordinator
50.0,Female,PhD,Director of Operations,22.0,180000.0,director of operations
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,25000.0,junior business operations analyst
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,senior financial manager
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,senior data scientist
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,junior marketing coordinator
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,senior operations manager
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,junior sales representative
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,senior marketing specialist
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,senior hr specialist
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,junior operations manager
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,senior marketing coordinator
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,senior data engineer
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,junior marketing manager
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,senior financial analyst
47.0,Female,Master's,Director of Marketing,20.0,180000.0,director of marketing
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,junior business analyst
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,senior project manager
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,senior data analyst
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,junior financial analyst
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,senior product manager
49.0,Female,Master's,Director of Operations,21.0,180000.0,director of operations
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,junior operations analyst
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,senior project coordinator
47.0,Male,Master's,Director of Marketing,19.0,170000.0,director of marketing
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,junior business development associate
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,senior financial manager
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,senior product designer
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,junior business analyst
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,senior marketing analyst
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,senior software engineer
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,junior product manager
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,senior business analyst
49.0,Male,PhD,Director of Operations,21.0,180000.0,director of operations
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,junior marketing specialist
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,senior business development manager
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,senior hr manager
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,junior financial analyst
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,senior marketing manager
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,senior data scientist
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,junior operations coordinator
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,senior marketing analyst
48.0,Female,Master's,Director of HR,20.0,180000.0,director of hr
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,junior project manager
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,senior operations coordinator
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,senior data engineer
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,junior marketing manager
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,senior business analyst
49.0,Female,Master's,Director of Marketing,21.0,180000.0,director of marketing
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,junior operations analyst
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,senior project manager
47.0,Male,Master's,Director of Marketing,19.0,170000.0,director of marketing
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,junior business development associate
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,senior financial manager
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,senior product designer
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,junior business analyst
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,senior marketing analyst
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,senior software engineer
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,senior financial advisor
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,senior marketing specialist
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,junior hr coordinator
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,senior business development manager
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,senior marketing manager
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,junior financial advisor
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,senior project manager
47.0,Male,PhD,Director of Engineering,20.0,180000.0,director of engineering
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,junior marketing analyst
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,senior operations manager
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,senior data scientist
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,junior marketing coordinator
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,senior business analyst
48.0,Male,Master's,Director of Marketing,21.0,180000.0,director of marketing
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,junior business development associate
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,senior financial analyst
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,senior ux designer
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,junior product manager
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,senior marketing manager
47.0,Male,Master's,Director of Operations,19.0,170000.0,director of operations
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,junior project manager
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,senior operations coordinator
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,senior business analyst
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,junior marketing specialist
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,senior financial manager
43.0,Male,Master's,Director of Marketing,18.0,170000.0,director of marketing
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,junior financial analyst
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,senior product manager
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,senior data engineer
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,junior business analyst
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,senior marketing analyst
45.0,Male,Master's,Director of Engineering,19.0,180000.0,director of engineering
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,junior operations manager
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,senior business development manager
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,senior data scientist
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,junior marketing coordinator
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,senior business analyst
48.0,Male,Master's,Director of Marketing,21.0,180000.0,director of marketing
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,junior business development associate
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,senior financial analyst
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,senior ux designer
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,junior product manager
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,senior marketing manager
47.0,Male,Master's,Director of Operations,19.0,170000.0,director of operations
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,junior project manager
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,senior operations coordinator
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,senior business analyst
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,junior marketing specialist
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,senior financial manager
43.0,Male,Master's,Director of Marketing,18.0,170000.0,director of marketing
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,junior financial analyst
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,senior product manager
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,senior data engineer
